sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:route,ADD_INFO:dose,ADD_INFO:drug,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
,actemra,-1,,intravenous_infusion,125,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,18,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,inflectra,-1,,intravenous_infusion,240,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,,20,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,180,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,21,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,200,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,22.5,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,inflectra,-1,,intravenous_infusion,250,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,,24,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,240,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,25.5,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,inflectra,-1,,intravenous_infusion,300,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,,30,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,250,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,35,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,inflectra,-1,,intravenous_infusion,350,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,actemra,-1,,intravenous_infusion,280,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,45,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,300,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,subcutaneous,12.5,methotrexate,0.00,APPROVED,UNREVIEWED,,0,1305058,methotrexate,Drug,MAPS_TO,,,0,
,inflectra,-1,,intravenous_infusion,400,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,,75,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,304,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,80,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,inflectra,-1,,intravenous_infusion,450,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,,100,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,320,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,180,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,350,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,inflectra,-1,,intravenous_infusion,500,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,intravenous_infusion,1000,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,360,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,1.5,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,inflectra,-1,,intravenous_infusion,600,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,,3,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,384,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,4,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,400,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,inflectra,-1,,intravenous_infusion,700,infliximab,0.73,UNCHECKED,UNREVIEWED,,0,36783414,infliximab Intravenous Solution [Inflectra],Drug,MAPS_TO,,CT,1648219522225,
,,-1,,oral,3,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,416,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,300,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,500,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,420,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,600,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,0,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,750,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,425,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,800,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,1,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,1200,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,426,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,12,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,3,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,actemra,-1,,intravenous_infusion,432,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,2000,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,440,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,24,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,5,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,3000,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,448,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,30,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,30,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,14000,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,450,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,700,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,40,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,oral,50,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,460,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,70,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,50,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,oral,75,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,464,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,2000,sulfasalazine,0.00,APPROVED,UNREVIEWED,,0,964339,sulfasalazine,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,100,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,subcutaneous,15,prednisone,0.00,APPROVED,UNREVIEWED,,0,1551099,prednisone,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,470,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,1,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,remicade,-1,,intravenous_infusion,125,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,2.5,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,actemra,-1,,intravenous_infusion,480,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,0,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,126,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,5,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,actemra,-1,,intravenous_infusion,496,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,1.5,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,500,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,remicade,-1,,intravenous_infusion,130,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,8,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,actemra,-1,,intravenous_infusion,510,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,6,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,132,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,20,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,actemra,-1,,intravenous_infusion,512,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,10,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,135,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,oral,2,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,actemra,-1,,intravenous_infusion,520,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,3,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,remicade,-1,,intravenous_infusion,140,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,oral,4,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,actemra,-1,,intravenous_infusion,528,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,50,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,144,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,oral,7,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,actemra,-1,,intravenous_infusion,530,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,75,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,150,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,oral,15,prednison_steroid_mr,0.00,UNCHECKED,UNREVIEWED,,0,40831536,Prednisone Oral Tablet [Lodotra],Drug,MAPS_TO,,CT,1648213055843,
,actemra,-1,,intravenous_infusion,544,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,100,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,159,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,125,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,552,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,150,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,160,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,actemra,-1,,intravenous_infusion,560,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,14,leflunomide,0.00,APPROVED,UNREVIEWED,,0,1101898,leflunomide,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,568,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,remicade,-1,,intravenous_infusion,162,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,oral,30,leflunomide,0.00,APPROVED,UNREVIEWED,,0,1101898,leflunomide,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,570,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,550,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,165,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,subcutaneous,20,leflunomide,0.00,APPROVED,UNREVIEWED,,0,1101898,leflunomide,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,576,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,,methotrexate,0.00,APPROVED,UNREVIEWED,,0,1305058,methotrexate,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,168,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,0,methotrexate,0.00,APPROVED,UNREVIEWED,,0,1305058,methotrexate,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,580,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,oral,1800,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,170,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,2.5,methotrexate,0.00,APPROVED,UNREVIEWED,,0,1305058,methotrexate,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,590,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,subcutaneous,40,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,174,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,6,methotrexate,0.00,APPROVED,UNREVIEWED,,0,1305058,methotrexate,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,592,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,subcutaneous,100,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,175,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,subcutaneous,150,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,596,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,10,methotrexate,0.00,APPROVED,UNREVIEWED,,0,1305058,methotrexate,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,177,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,,-1,,,12.5,methotrexate,0.00,APPROVED,UNREVIEWED,,0,1305058,methotrexate,Drug,MAPS_TO,,,0,
,actemra,-1,,intravenous_infusion,600,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,subcutaneous,300,other_medication,0.00,APPROVED,UNREVIEWED,,0,2616396,Unclassified drugs or biologicals,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,180,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
,actemra,-1,,intravenous_infusion,608,tocilizumab,0.71,UNCHECKED,UNREVIEWED,,0,36789426,tocilizumab Intravenous Solution,Drug,MAPS_TO,,CT,1648224377556,
,,-1,,,15,methotrexate,0.00,APPROVED,UNREVIEWED,,0,1305058,methotrexate,Drug,MAPS_TO,,,0,
,remicade,-1,,intravenous_infusion,185,infliximab,1.00,UNCHECKED,UNREVIEWED,,0,36783416,infliximab Intravenous Solution [Remicade],Drug,MAPS_TO,,CT,1648213247500,
